epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,881.844,1.53268,2.05062,1.26567,0.94764,0.87876,0.9515,0.59766,1.25385,1.76024,1.07781,0.000660969,0.000660969,0.000660969
2,1716.48,1.25884,1.05596,1.17433,0.95189,0.95536,0.98105,0.64988,1.23041,1.01563,1.12983,0.0011962,0.0011962,0.0011962
3,4267.72,1.17662,0.7993,1.1557,0.96573,0.9324,0.98148,0.6514,1.17554,0.91568,1.12374,0.00159943,0.00159943,0.00159943
4,5081.28,1.13245,0.68594,1.11666,0.93411,0.97103,0.98022,0.69661,1.03095,0.63226,1.04154,0.001406,0.001406,0.001406
5,7554.06,1.09369,0.60638,1.09834,0.96135,0.96072,0.98573,0.71195,1.05474,0.56858,1.06969,0.001208,0.001208,0.001208
6,10456.2,1.05935,0.5522,1.07476,0.96422,0.98318,0.99039,0.7302,0.97391,0.50346,1.01503,0.00101,0.00101,0.00101
7,11321.5,1.01901,0.52419,1.06051,0.96617,0.98067,0.99012,0.74944,0.952,0.48816,1.00195,0.000812,0.000812,0.000812
8,12146.1,0.99399,0.50125,1.04123,0.97719,0.98283,0.99401,0.75644,0.94753,0.46177,1.00944,0.000614,0.000614,0.000614
9,12974.3,0.95408,0.46704,1.02359,0.95772,0.9882,0.9913,0.75033,0.94867,0.46293,1.01169,0.000416,0.000416,0.000416
10,13809.5,0.93211,0.45558,1.01697,0.9788,0.98712,0.99389,0.78238,0.88858,0.42085,0.98419,0.000218,0.000218,0.000218
